,access,bridge,from,geometry,highway,key,lanes,length,maxspeed,name,oneway,osmid,service,time,to
4399,,,42474051,"LINESTRING (589762.4068133974 4507158.37031944, 589732.2856833178 4507238.941749778)",residential,1,,86.1191533255,,Waterbury Street,False,273130354,,1.14825537767,42474050
4400,,,42474051,"LINESTRING (589732.2856833178 4507238.941749778, 589706.095127236 4507308.902607971)",residential,0,,74.7905648042,,Waterbury Street,False,273130354,,0.997207530722,42474052
4401,,,42474052,"LINESTRING (589732.2856833178 4507238.941749778, 589706.095127236 4507308.902607971)",residential,1,,74.7905648042,,Waterbury Street,False,273130354,,0.997207530722,42474051
4402,,,42474052,"LINESTRING (589706.095127236 4507308.902607971, 589676.5088039516 4507387.260255536)",residential,0,,83.8553445372,,Waterbury Street,False,273130354,,1.1180712605,42474056
4403,,,42474056,"LINESTRING (589706.095127236 4507308.902607971, 589676.5088039516 4507387.260255536)",residential,1,,83.8553445372,,Waterbury Street,False,273130354,,1.1180712605,42474052
4404,,,42482246,"LINESTRING (588859.5363219853 4504984.895519146, 588872.8452777513 4504903.786523305)",residential,0,,82.3203519533,,Marcy Avenue,False,5677037,,1.09760469271,42482253
4405,,,42482253,"LINESTRING (588859.5363219853 4504984.895519146, 588872.8452777513 4504903.786523305)",residential,1,,82.3203519533,,Marcy Avenue,False,5677037,,1.09760469271,42482246
4406,,,42809927,"LINESTRING (591500.1910905141 4507284.959902807, 591563.8013464082 4507237.449324354)",residential,0,,79.3301284154,,Woodward Avenue,False,352438095,,1.05773504554,42809929
4407,,,42809929,"LINESTRING (591500.1910905141 4507284.959902807, 591563.8013464082 4507237.449324354)",residential,1,,79.3301284154,,Woodward Avenue,False,352438095,,1.05773504554,42809927
4408,,,42809927,"LINESTRING (591500.1910905141 4507284.959902807, 591437.00262916 4507332.587228767)",residential,0,,79.0642888451,,Woodward Avenue,False,221726017,,1.05419051793,42809924
4409,,,42809924,"LINESTRING (591500.1910905141 4507284.959902807, 591437.00262916 4507332.587228767)",residential,1,,79.0642888451,,Woodward Avenue,False,221726017,,1.05419051793,42809927
4410,,,42809927,"LINESTRING (591500.1910905141 4507284.959902807, 591617.3169432234 4507439.618287495, 591672.9274426459 4507513.025918704)",residential,0,,286.145250866,,Starr Street,False,221726019,,3.81527001155,42843573
4411,,,42809927,"LINESTRING (591500.1910905141 4507284.959902807, 591405.8389034054 4507160.338438745)",residential,0,,156.336261335,,Starr Street,False,5706978,,2.08448348447,42827574
4412,,,42827574,"LINESTRING (591500.1910905141 4507284.959902807, 591405.8389034054 4507160.338438745)",residential,1,,156.336261335,,Starr Street,False,5706978,,2.08448348447,42809927
4413,,,42809929,"LINESTRING (591563.8013464082 4507237.449324354, 591626.7407671 4507189.597914868)",residential,0,,79.0022525852,,Woodward Avenue,False,352438095,,1.0533633678,42809932
4414,,,42809932,"LINESTRING (591563.8013464082 4507237.449324354, 591626.7407671 4507189.597914868)",residential,1,,79.0022525852,,Woodward Avenue,False,352438095,,1.0533633678,42809929
4415,,,42809929,"LINESTRING (591563.8013464082 4507237.449324354, 591469.0326831527 4507112.377818431)",residential,0,,156.946273189,,Willoughby Avenue,False,5704299,,2.09261697586,42827581
4416,,,42827581,"LINESTRING (591563.8013464082 4507237.449324354, 591469.0326831527 4507112.377818431)",residential,1,,156.946273189,,Willoughby Avenue,False,5704299,,2.09261697586,42809929
