,geometry,highway,lat,lon,osmid
441,POINT (589528.3378376238 4507750.625357688),,40.715813,-73.940022,42489472
442,POINT (589612.8861243795 4507779.624081098),,40.716065,-73.939017,42489474
443,POINT (589708.6069772618 4507813.754937416),,40.716362,-73.937879,42489482
444,POINT (589838.2153725242 4507863.485372083),,40.7167958,-73.9363376,42489486
445,POINT (589975.6372288781 4507911.025818146),,40.717209,-73.934704,42489490
446,POINT (590236.2922158709 4508001.98944582),,40.7179998,-73.9316053,42489494
447,POINT (590807.3202208246 4508204.68188758),,40.7197627,-73.9248161,42489500
448,POINT (589519.3289305426 4507811.135214177),,40.716359,-73.94012,42489745
449,POINT (589508.9729859215 4507892.279116851),,40.717091,-73.940231,42489753
450,POINT (588949.1068660385 4507086.513580266),,40.709894,-73.946973,42489757
451,POINT (589085.0614473083 4507105.908361313),crossing,40.710054,-73.945361,42489803
452,POINT (589369.3174617705 4507143.521893554),crossing,40.710362,-73.941991,42489860
453,POINT (589510.760701176 4507162.990649211),,40.710522,-73.940314,42489930
454,POINT (587903.8579078133 4507573.212392191),,40.71439,-73.959277,42489991
455,POINT (588010.0838122832 4507505.238331118),,40.7137664,-73.9580291,42489993
456,POINT (590293.5431098982 4506423.180308084),,40.703773,-73.931155,42490298
457,POINT (590279.8797020122 4506476.749269191),,40.704257,-73.931309,42490300
458,POINT (590262.2064489852 4506554.361500685),,40.704958,-73.931507,42490303
459,POINT (590244.9599673169 4506631.64589412),,40.705656,-73.9317,42490308
460,POINT (590227.6293370256 4506708.929303811),,40.706354,-73.931894,42490311
461,POINT (590190.3135255994 4506863.019883525),,40.707746,-73.9323135,42490315
462,POINT (590171.9524747784 4506917.420123151),,40.708238,-73.932523,42490318
463,POINT (590130.4570571058 4507036.709945385),,40.709317,-73.932997,42490322
464,POINT (590104.295315656 4507110.888733188),,40.709988,-73.933296,42490325
465,POINT (590077.529298953 4507186.170502373),,40.710669,-73.933602,42490327
466,POINT (590052.0497036997 4507259.913651587),,40.711336,-73.933893,42490329
467,POINT (590020.242735595 4507346.902885638),,40.712123,-73.934257,42490332
468,POINT (589995.9952281916 4507416.664330507),,40.712754,-73.934534,42490334
469,POINT (589972.52451054 4507485.102992159),,40.713373,-73.934802,42490339
470,POINT (589958.7934019126 4507523.683563433),,40.713722,-73.934959,42490343
471,POINT (589901.5760275517 4507686.082989684),,40.715191,-73.935613,42490348
472,POINT (589882.0646740067 4507744.411282721),,40.7157185,-73.9358356,42490356
473,POINT (589810.2059218145 4507934.445282951),,40.717438,-73.936659,42490369
474,POINT (589784.8197663528 4508007.857351823),,40.718102,-73.936949,42490375
475,POINT (589757.7957592257 4508084.025261507),,40.718791,-73.937258,42490377
476,POINT (589734.263311574 4508157.904017735),,40.719459,-73.937526,42490380
477,POINT (589707.9977529397 4508234.303319705),,40.72015,-73.937826,42490467
478,POINT (589655.1652335486 4508384.211937833),,40.721506,-73.93843,42490472
479,POINT (589629.088897197 4508459.059463771),,40.722183,-73.938728,42490476
480,POINT (591710.8533397721 4504634.650786828),,40.687507,-73.914642,42490681
481,POINT (591831.1867527596 4504799.675604424),,40.68898,-73.913194,42490683
482,POINT (588269.6410345782 4505890.349422881),,40.699193,-73.955184,42490730
483,POINT (588349.5501252048 4505402.580582855),,40.694791,-73.954307,42490731
484,POINT (588378.5139933009 4505226.844265058),,40.693205,-73.953989,42490733
485,POINT (588417.0093263786 4504995.932578594),,40.691121,-73.953566,42490736
486,POINT (590108.3776223859 4506600.787045348),,40.705393,-73.933321,42490911
487,POINT (590362.0799014157 4506657.940359245),,40.70588,-73.93031,42490914
488,POINT (590518.7986140557 4506693.268429624),,40.706181,-73.92845,42490916
489,POINT (590655.7987750104 4506724.251058762),,40.706445,-73.926824,42490921
490,POINT (588485.1488499455 4506709.662432403),,40.7065496,-73.9525179,42490941
491,POINT (588520.9561875933 4506784.607766351),,40.7072208,-73.9520835,42490942
492,POINT (588552.1033019897 4506849.294719962),,40.7078001,-73.9517057,42490943
493,POINT (588600.4634355562 4506957.519428517),,40.7087697,-73.951118,42490947
494,POINT (588625.4023280181 4506998.629146546),,40.7091373,-73.950817,42490951
495,POINT (587914.7280892296 4506256.395703393),,40.702528,-73.959333,42490956
496,POINT (588058.3179429224 4506381.443689752),,40.703639,-73.957616,42490957
497,POINT (588377.9320980043 4506659.468236744),,40.706109,-73.953794,42490962
498,POINT (588449.6158529646 4506725.048390988),traffic_signals,40.706692,-73.9529363,42490968
499,POINT (589052.7468575883 4506320.923337054),,40.702987,-73.945855,42491136
500,POINT (589047.6055247764 4506369.15646981),,40.703422,-73.945909,42491139
501,POINT (588990.9572272342 4506766.937076644),,40.707011,-73.946523,42491149
502,POINT (588978.7330135297 4506849.280303466),,40.707754,-73.946656,42491152
503,POINT (588969.3379102618 4506928.215773749),,40.708466,-73.946756,42491159
504,POINT (588960.1963900365 4507007.154300729),,40.709178,-73.946853,42491164
505,POINT (588937.1176449569 4507163.419595828),,40.710588,-73.947104,42491169
506,POINT (588924.2280635156 4507244.977794899),,40.711324,-73.947245,42491173
507,POINT (588913.026771826 4507326.667275087),,40.712061,-73.947366,42491177
508,POINT (588902.2852761588 4507405.25364992),,40.71277,-73.947482,42491180
509,POINT (588891.6311018802 4507483.619044721),,40.713477,-73.947597,42491183
510,POINT (588869.7859524707 4507642.896983136),,40.714914,-73.947833,42491188
511,POINT (588858.6308967867 4507720.812344399),,40.715617,-73.947954,42491195
512,POINT (588848.1371230542 4507799.956896584),,40.716331,-73.948067,42491203
513,POINT (588837.2613237841 4507877.864539314),,40.7170339,-73.9481847,42491205
514,POINT (588815.8362639546 4508035.382441414),,40.718455,-73.948416,42491217
515,POINT (588805.0912080939 4508114.4130375),,40.719168,-73.948532,42491220
516,POINT (588754.4967330967 4508488.176364188),,40.72254,-73.949078,42491222
517,POINT (587874.446035323 4506329.559580255),,40.7031913,-73.9597995,42491426
518,POINT (588004.5225421687 4506443.42205617),,40.704203,-73.958244,42491429
519,POINT (588323.9669350594 4506721.442312533),traffic_signals,40.706673,-73.954424,42491439
520,POINT (588409.5306851241 4506741.723648498),,40.7068465,-73.9534084,42491444
521,POINT (588356.2346307058 4506764.55897161),traffic_signals,40.7070579,-73.954036,42491450
522,POINT (588391.6502538229 4506841.26425125),,40.707745,-73.953606,42491453
523,POINT (588423.3684637784 4506909.143792691),,40.708353,-73.953221,42491456
524,POINT (588494.2953823342 4507061.312993761),,40.709716,-73.95236,42491462
525,POINT (588526.5870463924 4507130.532162756),,40.710336,-73.951968,42491468
526,POINT (588555.6588164019 4507194.839174453),,40.7109121,-73.9516148,42491478
